ID,SMILES,VALUE_p
2,ClC1=CC(N2CC3CCNCC32)=CN=C1Cl,5.386158178
3,CSCCC(NC(=O)C(CC(N)=O)NC(=O)C(CS)NC(=O)C1CCCN1C(=O)C(CCCN=C(N)N)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(CS)NC(=O)C(CS)NC(=O)CN)C(=O)NC(CC(N)=O)C(=O)NC(CC(N)=O)C(=O)N1CCCC1C(=O)NC(CC(=O)O)C(=O)NC(CC1=CC=C(O)C=C1)C(=O)NC(CS)C(N)=O,7.522878745
5,O=C(OCC1CCCN(C(=O)CCC2=CC=CC=C2)C1)C1=CC=CC=C1C1=CC=CC=C1,3.480000002
6,O=C(CCC1CCCNC1)C1=CC=CC=C1C1=CC=CC=C1,5.180000294
7,O=C(OCC1CCCN(CCCN2C=C(C3=CC=CC=C3)N=N2)C1)C1=CC=CC=C1C1=CC=CC=C1,3.410000006
9,O=C(CCC1=CC=CC=C1)N1CCCC(CN(CC2=CC=CC=C2C2=CC=CC=C2)CC2=CC=CC=C2C2=CC=CC=C2)C1,4.389999976
10,CC1CC(=O)N(C2=CC=CC=C2C(=O)OCC2CCCN(CCC3=CNC4=CC=CC=C34)C2)C1=O,4.130000024
11,COC1=CC=CC=C1C(=O)OCC1CCCN(CCCC2=CC=CC=C2)C1,4.920000157
12,COC1=CC=C(NC(=O)CN2CCN(S(=O)(=O)C3=CC=C(F)C=C3)CC2)C=C1,4.528708289
13,C1=C(C2=CC(C3=CC=CC=C3)=NO2)C2CCC(CC1)N2,5.978810701
14,CC(NC(C)(C)C)C(=O)C1=CC=C(F)C(F)=C1,8.585026652
15,CC1=CC(C(=O)C(C)NC(C)(C)C)=CC=C1Br,8.537602002
16,CC(NC1CCCC1)C(=O)C1=CC=CC(Cl)=C1,7.585026652
17,CCC1NC(C)(C)COC1(O)C1=CC=CC(Cl)=C1,5.366531544
18,CC1NC(C)(C)COC1(O)C1=CC=CC(C2=CC=C3C=CC=CC3=C2)=C1,5.698970004
20,CC(C)C1=NOC(C2=CCCC3CCC2N3)=C1,5.537602002
22,O=C(C1=CC=C(F)O1)N1CC2CNCC2C1,4.508638306
24,CC(CCOC(=O)N(C)CCO)N(C)C,3.799999998
25,O=C(CN1CCN(S(=O)(=O)C2=CC=CC=C2F)CC1)NC1=CC=C(F)C=C1,4.866461092
26,COC1=CC=C(S(=O)(=O)N2CCN(CC(=O)NC3=CC=C(F)C=C3)CC2)C=C1,4.76700389
27,N#CC1=CN=CC(N2CC3CNCC32)=C1,4.909999919
28,COC1=CC(N2CC3CNC3C2)=CN=C1Br,5.400000186
29,CC1=CC(N2CC3CNC3C2)=CN=C1Cl,6.698970004
30,COC1=CN=CC(N2CC3CNC3C2)=C1,6.0
31,BrC1=CN=CC(N2CC3CNC3C2)=C1,5.039999924
32,C1=CN=CC(N2CC3CNC3C2)=C1,5.22184875
33,O=C(C1=C(Br)C=CO1)N1CC2CNCC2C1,4.568636236
34,O=C(C1=CC(Br)=CO1)N1CC2CNCC2C1,4.443697499
35,O=C(C1=C(F)C=CO1)N1CC2CNCC2C1,4.356547324
36,C1=CN=C2C=C3C(=CC2=N1)C1CNCC3C1,6.958607315
37,CC1=NOC(OCC2CCN2)=C1,6.772113295
38,O=C(C1=CC=C(Br)O1)N1CC2CNC(C2)C1,4.886056648
39,N#CC1=CC=C(C(=O)N2CC3CNCC(C3)C2)O1,4.468521083
40,CC1=C(C(=O)N2CC3CNCC3C2)OC=C1,4.638272164
41,O=C(C1=C(Cl)C=CO1)N1CC2CNCC2C1,4.657577319
42,O=C(C1=CC=C(Cl)O1)N1CC2CNCC2C1,4.15490196
44,NCCCNCCCCNCCCNC(=O)C(CC1CCCCC1)NC(=O)C1CCCCCC1,9.259637311
45,NCCCNCCCCNCCCNC(=O)C(CC1CCCCC1)NC(=O)CC1CC2CCC1C2,9.022276395
46,CC(CCOC(=O)N(C)C1=CC=C(Cl)C=C1)N(C)C,4.552841969
48,O=C(C1CC1)N1CC2CNC(C2)C1,5.744727495
49,CCC(C)C1NC(=O)C(CC2=CN=CN2)NC(=O)C(CCC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(CC(N)=O)NC(=O)CNC(=O)C(C)NC(=O)C2CSSCC(NC(=O)CN)C(=O)NC(CSSCC(C(N)=O)NC1=O)C(=O)NC(CO)C(=O)NC(CC1=CN=CN1)C(=O)N1CCCC1C(=O)NC(C)C(=O)N2,6.122053048
51,NC(=NO)C1=CN=CC(N2CCC3CNC3C2)=C1,5.244125144
52,CCOC1=CN=CC(N2CCC3CNC3C2)=C1,5.552841969
53,N#CC1=CN=CC(N2CC3CCNCC32)=C1,5.591760035
54,COC1=CC=C(NC(=O)CN2CCN(S(=O)(=O)C3=CC=CC=C3F)CC2)C=C1,4.718966633
57,O=C(OCC1CCCN(CCCC2=CC=CC=C2)C1)C1=CC=CC=C1C1=CC=CC=C1,1.0
58,C1=CC=C(NC2=CN=CC(OCC3CCCN3)=C2)C=C1,5.690369833
60,CCC(NC(C)(C)C)C(=O)C1=CC=C(Cl)C(Cl)=C1,9.292429824
61,CC1(C)CC(=O)N(C2=CC=CC=C2C(=O)OCC2CCCN(CCCC3=CC=CC=C3)C2)C1=O,5.124938737
63,CC1=CC=CC(C(=O)C(C)N2CCCCC2)=C1,7.958607315
64,CC(C(=O)C1=CC=CC(Cl)=C1)N(C)C,7.431798276
65,CC1=CC=C(C(=O)C(C)NC(C)(C)C)C=C1Cl,9.187086643
66,CC(NC(C)(C)C)C(=O)C1=CC=CC(Cl)=C1,8.744727495
67,CC1=CC=CC(C(=O)C(C)NC2CCCC2)=C1,8.431798276
68,OC1=CN=CC(C2=CC=CC=C2OC2CC3CNCC2C3)=C1,8.524328812
69,NC1=CN=CC(C2=CC=CC=C2OC2CC3CNCC2C3)=C1,7.469800302
70,CC(=O)NC1=CN=CC(C2=CC=CC=C2OC2CC3CNCC2C3)=C1,6.598599459
71,N#CC1=CC(N2CCC3CNC3C2)=CN=C1Br,8.356547324
72,ClC1=CC=C(N2CCC3CNC3C2)N=N1,7.188424994
73,CC(NC(C)(C)C)C(=O)C1=CC=CC(F)=C1,8.356547324
74,CC(NC1CCCC1)C(=O)C1=CC=CC([N+](=O)[O-])=C1,7.823908741
76,C#CC1=CN=CC(C2CCCN2C)=C1,4.638272164
78,CC1=CC(N2CC3CCNCC32)=CN=C1Cl,5.718966633
79,NC(=O)C1=CC(N2CC3CCNCC32)=CN=C1Br,4.632644079
80,COC1=CN=CC(N2CC3CCNCC32)=C1,4.200000031
81,CC1CC1C(=O)N1CC2CNCC(C2)C1,5.080921908
82,O=C(C1CC1F)N1CC2CNCC2C1,4.853871964
83,CC1=CC(N2CCC3CNC3C2)=CN=C1Cl,7.150028088
84,COC1=CC(N2CCC3CNC3C2)=CN=C1Br,6.799998135
85,COC(=O)C1=CC=C(NC(=O)CN2CCN(S(=O)(=O)C3=CC=CC=C3F)CC2)C=C1,4.950781977
86,ClC1=CC=NC=C1C1=CC2CNCC(C1)C2,6.42365865
87,FCC1=NOC(OCC2CCN2)=C1,6.821023053
88,O=C(C1=CN=CO1)N1CC2CNCC2C1,4.455931956
89,CC1=CC=C(C(=O)N2CC3CNCC(C3)C2)O1,4.431798276
90,N#CC1=COC(C(=O)N2CC3CNCC(C3)C2)=C1,4.455931956
