ID,SMILES,VALUE_p
1,O=S(=O)(NCCCCN1CCN(C2=NSC3=CC=CC=C23)CC1)C1=CC=CC2=C1N=CS2,7.8
2,CC1=CC=CC(S(=O)(=O)NCCCCN2CCN(C3=NOC4=CC=CC=C34)CC2)=C1,7.36
3,O=S(=O)(NCCCN1CCN(C2=NOC3=CC=CC=C23)CC1)C1=CC2=CC=C(Cl)C=C2S1,7.52
4,O=S(=O)(NCCCCN1CCC(C2=NOC3=CC(F)=CC=C23)CC1)C1=CC=C(Cl)C(Cl)=C1,7.82
5,O=S(=O)(NCCCCN1CCC(C2=NOC3=CC(F)=CC=C23)CC1)C1=CC=C2C=C(Cl)C=CC2=C1,9.0
6,CC1=C(S(=O)(=O)NCCCCN2CCC(C3=NOC4=CC(F)=CC=C34)CC2)SC2=CC=C(F)C=C12,8.72
7,CN(C)CC1=CC=C(CNC(=O)CCCCCN2CCN(C3=CC=CC=C3C3=CC=CC=C3)CC2)C=C1,7.12
8,O=C(C1=CC=CC(CN2CCC3=C(C2)NC2=CC=CC=C32)=C1)N1CCCCC1,6.43
10,O=C(CCCN1CCC(O)(C2=CC=C(Cl)C=C2)CC1)C1=CC=C(OCCSSCCO)C=C1,7.14
13,CCCN1CCC2=CC=CC3=C2C1CC1=CC=C(C)C(O)=C13,6.6
14,CCOC(=O)C1=C(CCN(C)C)C2=CC=CC=C2N1,7.23
16,O=C(CCCCN1CCN(C2=CC=CC=C2F)CC1)NC1=NC2=CC=CC=C2S1,6.76
17,CC1=C(C2=NN=C(SCCCN3CC4CC4(C4=CC=C(C(F)(F)F)C=C4F)C3)N2C)OC=N1,5.68
18,CCCN1CCC2=CC=CC3=C2C1CC1=CC=CC(O)=C13,6.07
19,COC1=CC=C2NC=C(CN3CCC(O)(C4=CC=C(Br)C=C4)CC3)C2=C1,8.6
20,CCCOC1=CC=CC(CN2CCN(CC3=CC4=CC=CC=C4O3)CC2)=C1,5.53
23,CCC1=CC(Cl)=C(OC)C(N2CCN(CC(F)CCNC(=O)C3=CC4=CC=CC=C4N3)CC2)=C1,4.67
24,CCC1=CC=CC(N2CCN(CC(F)CCNC(=O)C3=CC4=CC=CC=C4N3)CC2)=C1Cl,7.1
25,O=C1C(C2=CC=C(Cl)C=C2)=C2CCCCN2C(=O)N1CCCCN1CCCC(C2=CNC3=CC=CC=C23)C1,5.78
26,O=C(NCCCCN1CCN(C2=CC=CC(Cl)=C2Cl)CC1)C1=CC=CC(F)=N1,7.36
27,COC1=CC=CC=C1N1CCN(CCCCNS(=O)(=O)C2=CC=C(F)C=C2)CC1,6.92
28,O=S(=O)(NCCCCN1CCN(C2=CC=CC(Cl)=C2Cl)CC1)C1=CC=C(F)C=C1,7.31
29,COC1=CC(CN2CCN(C3=CC=CC=C3OC)CC2)=CC=C1OCCCC1=CN(CCCCCCCCN2C=C(CCCOC3=CC=C(CN4CCN(C5CCCCC5)CC4)C=C3OC)N=N2)N=N1,7.77
30,COC1=CC=C(Cl)C=C1S(=O)(=O)NC1CCC(N2CCN(C3=CC=CC=C3OCC3CC3)CC2)CC1,6.23
31,CC(C)OC1=CC=CC=C1N1CCN(C2CCC(NS(=O)(=O)C3=CC=C(Cl)C=C3Cl)CC2)CC1,7.38
32,COC1=CC=C(F)C=C1S(=O)(=O)NC1CCC(N2CCN(C3=CC=CC=C3OC(C)C)CC2)CC1,6.76
33,CC(C)OC1=CC=CC=C1N1CCN(C2CCC(NS(=O)(=O)CC3=CC=CC=C3)CC2)CC1,7.15
34,CCCN(CCCCNC(=O)C1=CC=C(C2=CC=CC=C2)C=C1)C1CCN2N=CC(C=O)=C2C1,5.33
