ID,SMILES,VALUE_p
60,CCN1CCN(C2CCN(C(=O)COC3=CC=C(C4=CC=C(OC)C=C4)C=C3)CC2)CC1,4.744727495
61,CCN1CCN(CCCNC(=O)COC2=CC=C(C3=CC=C(OC)C=C3)C=C2)CC1,3.958607315
62,CCN1CCN(C2CCN(C(=O)COC3=CC=C(C4=CC=CC=C4F)C=C3)CC2)CC1,4.721246399
63,CCCCCCCNC(=O)OC1=CC=C2C(=C1)C1(C)CCN(C)C1N2C,8.045757491
64,CN1CC2=CC(O)=CC=C2N(C)C1C1=CC=CC2=CC=CC=C12,3.466355021
65,CC1=CC=C2ON=C(CCC3CCN(CC4=CC=CC=C4)CC3)C2=C1,8.108016769
66,BrC1=CC=C2C(CCC3CCN(CC4=CC=CC=C4)CC3)=NOC2=C1,7.301029996
68,CC(C)(C)OC(=O)N1CCN(C2=NC=CC(NCC3=CC=CC=C3)=N2)CC1,4.725842151
69,COC1=CC=C2C(=C1)C(C=C1CN(CC3=CC=CC=C3)CCC1=O)=CN2C(=O)C1=CC=CC=C1,4.096910013
70,CN(C)C(=O)OC1=CC=C2C(=C1)C1(C)CCN(C)C1N2C,6.677780705
71,N#CC1=C(N)N2CCCNC2=C([N+](=O)[O-])C12C(=O)NC1=CC=CC=C12,5.991399828
72,N#CC1=C(N)N2CCNC2=C([N+](=O)[O-])C12C(=O)NC1=CC=CC=C12,5.314258261
73,CN(C)CC(C)(C)C1=CC=CC(OC(=O)NCCCCN2CCOCC2)=C1,8.045757491
74,CC(C)C1=CC=C(NC(=O)OC2=CC=C3C(=C2)C2(C)CCN(CCC4=CC=CC=C4)C2N3C)C=C1,8.22184875
75,CCN(CC)C(C)C(=O)N1C2=CC=CC=C2SC2=CC=CC=C21,5.472370099
76,CCN(CC)CCSC(=NO)C(=O)C1=CC=C(C#N)C=C1,3.744727495
77,NC1=C2CCCC2=NC2=NC(C3=CC=CC=C3)=CC(C(F)(F)F)=C12,5.09420412
78,O=C(CCN1CCCCC1)N1CCN(CCNC2=C3CCCCC3=NC3=CC=CC=C23)CC1,7.286509457
79,CCN(CC1=CC=CC=C1)CC1=CC=C(C2=CC3=CC=C(OCCNC(=O)C=CC4=CC=C(Cl)C(Cl)=C4)C=C3OC2=O)C=C1,5.373659633
80,CCN(CC1=CC=CC=C1)CC1=CC=C(C2=CC3=CC=C(OCCNC(=O)CC4=CC(F)=CC(F)=C4)C=C3OC2=O)C=C1,6.742321425
81,CN(CC1=CC=CC=C1)CC1=CC=C(C(=O)C2=CC=C(OCCCN3CCOCC3)C=C2)C=C1,6.970616222
82,CN1C=C[N+](COCC2=CC=CC3=CC=CC=C23)=C1C=NO,5.420216403
83,CNC(C)C1C(O)CC2(C)C3CCC4C5(C)CSC(C(C)C)=NC5CCC45CC35C(=O)CC12C,7.119186408
84,CC(C)C1=NC2CCC34CC35C(=O)CC3(C)C(C(C)N(C)C)C(O)CC3(C)C5CCC4C2(C)C=C1,7.602059991
85,C1=CC=C2C(=C1)CC1=C2N=C2C=CC=CC2=C1NCCCCCCCNC1=C2CC3=CC=CC=C3C2=NC2=CC=CC=C12,6.341988603
86,N#CC1=C(N)N(CC2=CC=CC=C2)C(NCC2=CC=CC=C2)=C([N+](=O)[O-])C12C(=O)NC1=CC=C(F)C=C12,5.450996738
87,CC1=CC=C2NC(=O)C3(C(C#N)=C(N)N4CC(C)(C)CNC4=C3[N+](=O)[O-])C2=C1,5.8569852
89,COC1=CC=CC=C1CNCCCCCCNCCCCCCCCNCCCCCCNCC1=CC=CC=C1OC,-5.27
90,C1=CC=C2C(=C1)C=CC=[N+]2CCCCCCCCC[N+]1=CC=CC2=CC=CC=C21,7.096910013
