ID,SMILES,VALUE_p
78,COC(=O)C1CC(C(=O)O)NC2=CC(Cl)=CC(Cl)=C21,5.91721463
81,CC1=C(C(CC2=CC=CC=C2N(C)C)N(C)C)SC=C1,6.48148606
82,NC(CC1=NC2=CC(Cl)=CC=C2N=C1CP(=O)(O)O)C(=O)O,7.619788758
83,CNC12CC=CCC1CCC1=CC=C(OC)C=C12,7.677780705
84,CNC12CCCCC1SC1=CC=CC=C12,7.946921557
85,O=C(O)C1=NC2=C(Cl)C=C(Cl)C=C2N1,6.096910013
86,O=[N+]([O-])C1=CC([N+](=O)[O-])=C2N=C(O)C(O)=NC2=C1,6.769551079
87,O=C(O)C1CC(CC2=NN=NN2)CCN1,5.37675071
88,NC(CO)C(=O)O,6.698970004
89,CCOC(=O)C1=C(O)N=C2C=C([N+](=O)[O-])C=CC2=C1O,4.595166283
90,CNC1=CC=C2CC3C4CCCCC4(CCN3C)C2=C1,5.443697499
92,CC(=NC1CCCCC1)NC12CC3CC(CC(C3)C1)C2,5.0
94,COC(=O)C1C(=O)NC2=CC(Cl)=CC=C2S1(=O)=O,4.866461092
95,CN(C(=N)N(C)C1=CC=CC2=CC=CC=C12)C1=CC=CC2=CC=CC=C12,7.161150909
96,NC(CC1=CC(I)=C(OCCC2=CC=NC=C2)C(I)=C1)C(=O)O,6.337242168
98,NC(CC1=CC(I)=C(OC2=CC=C(O)C(I)=C2)C(I)=C1)C(=O)O,5.823908741
99,N=C(NC1=CC=CC2=CC=CC=C12)N1CCC(C2=CC=CC=C2)CC1,5.0
100,O=C(O)C1=CC(O)=C2C(Cl)=CC(I)=CC2=N1,6.187086643
101,N=C(N)C1=CC=C(OCC=CCOC2=CC=C(C(=N)N)C=C2)C=C1,5.605548319
104,CCOC(=O)C1NC2=CC(Cl)=CC(Cl)=C2S(=O)(=O)N1CC1=CC=CC(Cl)=C1,7.958607315
105,CCN(CC)C(=O)C1(C2=CC=CC=C2)CC1C(N)C1=CC=CC=C1,4.769551079
107,O=C(O)CCC1=CN2C3=C(N=C(O)C2=N1)C1=CC=CC(CC(=O)O)=C1C3,5.795880017
108,OC1=NC2=C(CC3=CC=C(F)C=C32)N2C=CN=C12,6.0
109,NCC(=O)N1CCCC12C1=CC=CC=C1C1=C2N2C=CN=C2C(O)=N1,5.552841969
110,CCOC(=O)C1NC2=CC(Cl)=CC(Cl)=C2S(=O)(=O)N1CC1=CC=CC(C#N)=C1,7.769551079
111,OC1=NC2=C(N3C=CN=C13)C1(CCCN1CC1=CC=CC=C1)C1=CC=CC=C12,5.886056648
114,O=C(O)CSC1=C(C(=O)O)NC2=CC(Cl)=CC(Cl)=C12,7.0
116,O=C(OCCC1=CC=CS1)C1=C(O)N=C2C=C(Cl)C=CC2=C1O,5.522878745
117,NC1=CC=C2N=C3C=CC(N)=CC3=[N+](C3=CC=CC=C3)C2=C1,5.363512104
118,NC(CC1=NC2=CC(Cl)=C(Cl)C=C2N1CP(=O)(O)O)C(=O)O,7.744727495
119,OC1=NC2=C(F)C(F)=C(F)C(F)=C2N=C1O,6.13667714
120,OC1=NC2=CC(Cl)=CC=C2C(O)=C1C1=CC=CC(OC2=CSC=C2)=C1,8.853871964
121,O=C(O)CCC1CCC2CNC(C(=O)O)CC2C1,4.35753548
122,O=C(O)CCC(=O)N1CCCC12C1=CC=CC=C1C1=C2N2C=CN=C2C(O)=N1,5.0
123,NC(C=CCCO)C(=O)O,6.619788758
124,CCN(CCNC1=CC=C(C(=N)N)C=C1)C1=CC=C(C(=N)N)C=C1,4.886056648
125,COC1=CC=C(N=C(N)NC2=CC=C3CCC4=C3C2=CC=C4)C2=CC=CC=C12,5.603800653
128,CCC(C)C1=CC=C(NC(=N)NC2=CC=C(C(C)CC)C=C2)C=C1,4.995678626
131,C1=CC=C(C2(N3CCCCC3)CCCCC2)C=C1,7.437707136
133,CNC12CCCCC1CCC1=CC=CC=C12,6.744727495
134,O=C(C1=CC2=CC=C(O)C=C2N1)N1CCC(CC2=CC=CC=C2)CC1,7.744727495
136,IC1=CC=C2CC3NCC(C2=C1)C1=CC=CC=C13,6.795880017
138,CC(C)C1=CC=C(NC(=N)NC2=CC=C(C(C)C)C=C2)C=C1,4.634512015
139,CC(C)(C)N=C(N)C1=CC=C(N2CCCN(C3=CC=C(C(N)=NC(C)(C)C)C=C3)CC2)C=C1,3.250263684
140,C1=C(C2=NCCN2)C=CC(N2CCCN(C3=CC=C(C4=NCCN4)C=C3)CC2)=C1,4.035269079
142,NCCCCCCCCC1=CC=C(CCCCN)S1,4.307153081
144,CCCN1CC2=CC=CC=C2C12CCCC1=CC=CC=C12,5.795880017
145,O=C1NC2=CC(N3C=CN=C3)=C([N+](=O)[O-])C=C2NC1=O,4.982966661
148,NC(CC(CP(=O)(O)O)=NO)C(=O)O,6.698970004
149,CC1CN(O)C(=O)C1N,5.568636236
150,NC(CC1=NC2=CC=C(Cl)C=C2N=C1CP(=O)(O)O)C(=O)O,7.420216403
152,O=C(O)C1CC2CC(C3=C(C4=NNN=N4)SC=C3)CCC2CN1,4.258060922
153,O=C(O)CCCON=C1C2=CC=CC=C2C2=C1N1C=C(C(=O)O)N=C1C(O)=N2,5.853871964
154,O=C1CC(C(=O)O)NC2=CC=CC(Cl)=C12,5.15739076
155,CC(C)(C)OC(=O)N(CCCN)CCCCN(CCCN)C(=O)OC(C)(C)C,2.175418624
156,O=C(O)CSCC1=CC(Br)=CC2=NC(O)=C(O)N=C12,6.920818754
157,O=C(O)C1CC(OS(=O)(=O)O)CCN1,6.669586227
159,O=C(O)CCC1=C(C(=O)O)NC2=CC=CC(C(F)(F)F)=C12,4.886056648
160,NCCCC(=O)N1CCN(C(=O)CCCN)CC1,3.622511617
161,CN(CCNC1=CC=C(C(=N)N)C=C1)C1=CC=C(C(=N)N)C=C1,4.069050969
162,NC(CCCCCP(=O)(O)O)C(=O)O,6.408935393
163,CC(C)(C)OC(=O)N1CCCC12C1=CC=CC=C1C1=C2N2C=CN=C2C(O)=N1,6.22184875
164,O=C(O)C1=CC(O)=C2C(Cl)=CC(Cl)=CC2=N1,7.193820026
165,CCC1(C2=CC=CC=C2)OCC(C2CCCCN2)O1,6.970616222
166,N=C(NC1=CC=CC=C1C1=CC=CC=C1)NC1=CC=CC=C1C1=CC=CC=C1,5.0
167,CN(C(=N)NC1=CC=CC2=CC3=CC=CC=C3C=C12)C1=CC=CC2=CC=CC=C12,5.725842151
168,C1=CC=C(C2=CC=C3CC4NCC(C3=C2)C2=CC=CC=C24)C=C1,6.375717904
169,CNC12CCC(CN)CC1CC1=CC=CC=C12,8.735182177
170,O=C(O)CC1=CN2C3=C(N=C(O)C2=N1)C1=CC=CC(CC(=O)O)=C1C3,5.677780705
171,NC(CC1=NC2=C(Cl)C=CC(Cl)=C2N=C1CP(=O)(O)O)C(=O)O,6.610833916
172,CC1=CC2=C(C(C)=C1[N+](=O)[O-])C(=O)C=C(O)C(=O)N2,5.657577319
173,O=[N+]([O-])C1=C(O)N=C2C=C(Cl)C(Cl)=CC2=C1O,6.397940009
176,O=C1CC(C(=O)O)NC2=CC(Br)=CC(Br)=C12,5.88941029
177,OC1=NC2=C(N3C=CN=C13)C1(CCCN1)C1=CC=CC=C12,6.552841969
178,O=C(O)C1CN(C(C2=CC=CC=C2)P(=O)(O)O)CCN1,5.236572006
179,C#CC(N)C1CC1(C(=O)N(CC)CC)C1=CC=CC=C1,4.795880017
181,O=C(O)CNCCC1=CC=CC(CP(=O)(O)O)=C1,4.863279433
183,NC(CC1=NC2=CC=CC=C2N1CP(=O)(O)O)C(=O)O,4.954677021
184,O=C(O)C1CC(CCC2=NN=NN2)CCN1,5.638272164
186,NCC(C1=CC=CC=C1)C(O)C1=CC=CC=C1,5.251811973
187,CC1=CC=C2C(=C1)C1=NC(O)=C(O)N=C1C2(C)CC(=O)O,7.920818754
188,O=C(O)C1CC2CC(CCS(=O)(=O)O)CCC2CN1,4.209011525
190,NC(CCCP(=O)(O)O)C(=O)O,6.552841969
191,NC1(C(=O)O)CC(C(=O)O)C1,6.744727495
192,NC(CC1=CC=CC=C1CCP(=O)(O)O)C(=O)O,4.215382707
195,NC(C(=O)O)C1=NN=NN1,7.008773924
196,NC12CC3CC(CC(C1)C1=CC=CC=C13)O2,4.455931956
197,COC1=CC=CC(NC(=N)NC2=CC=CC(OC)=C2)=C1,6.307153081
199,CC(C)C1=CC=CC=C1NC(=N)NC1=CC=CC=C1C(C)C,6.663540266
200,CN(C(=N)NC1=CC=CC(N)=C1)C1=CC=CC2=CC=CC=C12,5.0
201,N=C(NC1=CC=CC2=CC=CC=C12)NC1CC2=CC=CC=C2C1,5.289882635
202,O=C(O)CC1CC(C(=O)O)NC2=CC(Cl)=CC(Cl)=C21,6.872895202
203,COC(=O)C1CC(C(=O)O)NC2=CC(Cl)=CC(I)=C21,5.510041521
204,CC(C)C1=CC=CC=C1N=C(N)N(C)C1=CC=CC2=CC=CC=C12,6.066006836
205,CC1=CC=CC(NC(=N)NC2=CC=CC(C)=C2)=C1,6.474955193
206,CN(C(=N)NC1=CC=CC2=CC=CC=C12)C1=CC=CC2=CC=CC=C12,6.93930216
207,NCCCCC1=CC=C(CCCCNC(=O)C(CN)C2=CC=CC=C2)S1,4.995678626
208,N=C(N)NCCCCCCC1=CC=C(CCNC(=N)N)S1,4.630784143
209,N=C(NC1=CC=CC=C1)NC1=CC=CC=C1,5.462180905
210,O=C1C(O)=C2/C1=N\CCCCN2CCP(=O)(O)O,7.30980392
211,OC1=NC2=CC(Cl)=CC=C2C(O)=C1C1=CC=CC(CC2=CC=CC3=CC=CC=C23)=C1,7.554395797
212,O=C(O)C(=CC1=C(C(=O)O)NC2=CC(Cl)=CC(Cl)=C12)C1=CC=C(F)C=C1,7.449771647
213,NC(CC(CP(=O)(O)O)S(=O)O)C(=O)O,6.619788758
214,CCOC(=O)C1=NN2C(O)=NC3=CC=CC=C3C2=C1,4.337242168
215,N=C(N)C1=CC=C(OCCCCOC2=CC=C(C(=N)N)C=C2)C=C1,5.28567024
217,O=C(O)COC1=CC(C(=O)O)=NC2=CC(Cl)=CC(Cl)=C12,5.045757491
218,O=C(O)CN1CCCN=C2C(=O)C(O)=C21,6.259637311
219,NC(CC1=CC(CP(=O)(O)O)=CC(C2=CC=CC3=CC=CC=C23)=C1)C(=O)O,6.602059991
220,CN1C2CC3=CC=CC=C3CC1(C)C1=CC=CC=C12,6.27572413
221,CC12CC3=CC(Br)=CC=C3CC(N1)C1=CC=CC=C12,7.102372909
222,CC1=CC=C2CC3NC(C)(C2=C1)C1=CC=CC=C13,7.494850022
223,CC12NC(CC3=CC=CC=C31)CC1=CC=CC=C12,6.853871964
224,CC1=CC=C2C(=C1)C1CC3=CC=CC=C3C2(C)N1,6.356547324
226,CC12NC(C)(C3=CC=CC=C31)C1=CC=CC=C12,7.619788758
227,OC1=NC2=CC(Cl)=CC=C2C(O)=C1C1=CC=CC(CC2=COC=C2)=C1,8.050609993
228,O=C(O)C1=CC2=CC(Cl)=C(Cl)C=C2N=C1O,6.091514981
229,O=C(O)C1CN(CCCP(=O)(O)O)CCN1,7.552841969
230,O=C(CCC1CCC2CNC(C(=O)O)CC2C1)NC1=NNN=N1,4.075720714
231,NC(CCC(=O)O)C(=O)O,7.096910013
232,CN1CC2=CC=C(O)C=C2C12CCCCC1=CC=CC=C12,6.795880017
233,O=C(O)C1CC2CC(CC3=CC=CC(C4=NNN=N4)=C3)CCC2CN1,4.853871964
234,OC1=NC2=CC(Br)=CN=C2N=C1O,5.387216143
235,CCCN1CC2=CC=CC=C2C12CCCCC1=CC=CC=C12,4.769551079
236,CCCN1CC2=CC=CC=C2C12CCC1=CC=CC=C12,6.356547324
237,CNC12CCCCC1CC1=CC=CC=C12,8.004364805
238,CN(CC1=CC=CC=C1)CC12CC3(C)CC1CC3(C)C2,3.795880017
239,CN(C)C12CC3(C)CC1CC3(C)C2,3.815308569
240,N=C(N)NCC12CC3CC(CC1C3)C2,4.602059991
241,C1=CC=C(CNCC23CC4CC(CC2C4)C3)C=C1,3.860120914
243,CC12CC3CC1(C)CC3(CNC(=N)N)C2,3.982966661
244,CNC12CC3CC(CC1C3)C2,3.688246139
245,CCN(CC)C(=O)C1(C2=CC=CC=C2)CC1C(N)C(N)=O,4.568636236
246,CNC12C3=CC=CC=C3CC1CCCC2C,7.102372909
249,O=C(O)CCN1CCCN=C2C(=O)C(O)=C21,6.468521083
250,CC(CN)C(C1=CC=CC(F)=C1)C1=CC=CC(F)=C1,6.850780887
251,CCNC12CCCCC1OC1=CC=CC=C12,6.850780887
252,O=[N+]([O-])C1=CC2=NC(O)=C(O)N=C2C=C1[N+](=O)[O-],4.397940009
253,N#CC1=CC2=NC(=O)C(=O)N=C2C=C1[N+](=O)[O-],4.853871964
254,CC1=CC(C)=C2C(O)=C([N+](=O)[O-])C(O)=NC2=C1,6.537602002
255,OC1=NC2=CC=CC=C2C(Cl)=C1O,5.853871964
256,O=[N+]([O-])C1=CC(CNC2=CC=CC(F)=C2)=C2N=C(O)C(O)=NC2=C1,6.142667504
257,O=C1NC2=CC(Cl)=CC=C2CC1[N+](=O)[O-],6.387216143
258,CC12CC3=CC=CC=C3C(CN1)C(O)C1=CC=CC=C12,5.091514981
261,CC12CC3=CC=CC=C3CC(N1)C1=CC=CC=C12,7.065501549
262,O=C(O)C1=CN2C3=C(N=C(O)C2=N1)C1=CC=CC=C1C3,7.080921908
263,CCCCC12CC3=CC=CC=C3CC(C)(N1)C1=CC=CC=C12,5.443697499
264,CNC(=O)NC1=CC=C2C(=C1)CC1=C2N=C(O)C2=NC(C(=O)O)=CN12,5.363512104
266,NC(CC1=NC2=CC=C(Cl)C=C2N1CP(=O)(O)O)C(=O)O,4.866461092
267,O=C(O)C1=CC=CC(C2CCC3CNC(C(=O)O)CC3C2)=C1,4.066512712
268,CNC12CC3(C)CC1CC3(C)C2,4.455931956
