ID,SMILES,VALUE_p
1,CC1=C(C(=O)NC2=CC=C3NN=CC3=C2)C(C2=CC=C(F)C(C(=O)NCC3=CC=CC(F)=C3)=C2)NC(=O)N1,6.698970004
2,CC1=C(C(=O)NC2=CC=C3NN=CC3=C2)C(C2=CC=C(F)C(C(=O)NCC3=NC=CC4=CC=CC=C34)=C2)NC(=O)N1,6.552841969
3,CC1=C(C2=C3N=CC(Cl)=CN3N=C2)C=C(C(=O)NC2C(N)CCCC2(F)F)S1,4.958607315
4,CC1=C(C(=O)NC2=CC=C3NN=CC3=C2)C(C2=CC=C(F)C(C(=O)N(C)CC3=NNC(C)=C3)=C2)NC(=O)N1,5.958607315
5,CC1=C(C(=O)NC2=CC=C3NN=CC3=C2)C(C2=CC=C(F)C(CC(=O)NCC3=CC(C)=CC=C3C)=C2)NC(=O)N1,5.721246399
6,CCC1(O)CCCN(C(=O)CCC2=CC(C3NC(=O)NC(C)=C3C(=O)NC3=CC=C4NN=CC4=C3)=CC=C2F)C1,4.537602002
7,CC1=C(C(=O)NC2=CC=C3NN=CC3=C2)C(C2=CC=C(F)C(CCC(=O)NCCC3=CC=CC=C3)=C2)NC(=O)N1,5.327902142
8,O=C(NCC1=CC=CC=C1C(F)(F)F)C1=CC=CC(NCC2=NN=C(C3=CC=NC=C3)N2CCO)=C1,4.920818754
9,CCN1C(CNC2=CC=CC(C(=O)NCC3=CC=CC=C3)=C2)=NN=C1C1=CC=NC=C1,4.060480747
10,FC1=CC=C(C2CCNCC2COC2=CC=C3OCOC3=C2)C=C1,5.860120914
11,CC1=C(C(=O)NC2=CC=C3NN=CC3=C2)C(C2=CC=C(F)C(CC(=O)NC3CC(=O)N(C)C3)=C2)NC(=O)N1,5.721246399
12,CC1=C(C(=O)NC2=CC=C3NN=CC3=C2)C(C2=CC=C(F)C(CC(=O)N(CCO)CC3=CC=CO3)=C2)NC(=O)N1,6.337242168
13,CCC1=CC=CC(NC(=O)CCS(=O)(=O)C2=CC=C(Br)C=C2)=C1,5.204119983
14,O=C(CNC1=CC=CC(OCC2=CC=CC=C2)=C1)NN=C1CCCC2=CN=CC=C12,7.27572413
15,ClC1=CC=C(CNC2=NC(C3=CC=NC=C3)=NN2)C=C1,6.008773924
16,O=S(=O)(NCC1=CC=CC=C1)C1=CC=CC(NCC2=NC(C3=CC=NC=C3)=NN2)=C1,7
17,OCCC1=CN=CC=C1C1=NNC(CNC2=CC=C(Cl)C=C2)=N1,5.420216403
18,CC(=O)NC1=CC(C2=NN=C(CNC3=CC=CC(C(=O)NCC4=CC=CC=C4C(F)(F)F)=C3)N2C)=CC=N1,6.769551079
19,CN1C(CNC2=CC=CC(C(=O)NCC3=C(F)C=CC=C3F)=C2)=NN=C1C1=CC=NC(NCC2=CC=CC=C2)=C1,7.173925197
20,O=C(NCC1=CC=CC=C1)C1=CC=CC(NCC2=CC(C3=CC=NC=C3)=NN2)=C1,7.853871964
21,CC#CCN(CCCC)C(=O)CC1=CC(C2NC(=O)NC(C)=C2C(=O)NC2=CC=C3NN=CC3=C2)=CC=C1F,6.366531544
22,CC1=C(C(=O)NC2=CC=C3NN=CC3=C2)C(C2=CC=C(F)C(CCC(=O)N(CC(C)C)C(C)C)=C2)NC(=O)N1,4.920818754
23,COC1=CC=C2N=C(C3=CC(C4=CN(C5CCNCC5)N=C4)=CN=C3N)OC2=C1C1=CC=C2C=NNC2=C1,5.038104526
24,COC1=CC=C(N(C(=O)NC2=CC=C3N=C(C4=CC(C5=CN(C6CCNCC6)N=C5)=CN=C4N)OC3=C2)C2=CC=CC=C2)C=C1,6.180456064
25,CC(C)(NC1=CC=C(Cl)C(O)=C1)C(=O)NC1=NC2=C(C(F)(F)F)C=C3NN=CC3=C2S1,8.060480747
26,O=C(O)CC1=CC=C(N2C=CC=C2)C=C1,5.494036482
27,CC1=C(C(=O)NC2=CC=C3NN=CC3=C2)C(C2=CC=C(F)C(CC(=O)N3CCCC(C(C)(C)C)CC3)=C2)NC(=O)N1,5.455931956
28,CNC(=O)C1=CC=CC(NCC2=NC(C3=CC=NC=C3)=NN2)=C1,7.187086643
29,O=C(NC1=CC=CC=C1)C1=CC=CC(NCC2=NC(C3=CC=NC=C3)=NN2)=C1,7.26760624
30,O=C(CC1=CC=CC(NCC2=NC(C3=CC=NC=C3)=NN2)=C1)NCC1=CC=CC=C1,6.494850022
31,O=C(NCC1=CC=CC=C1)C1=CC=CC(NCC2=CNC(C3=CC=NC=C3)=N2)=C1,6.337242168
32,NC1=NC=C(C2=CN(C3CCNCC3)N=C2)C=C1C1=NC2=CC(N3CCCC3)=CC=C2O1,5.782516056
33,O=C(NCC1=CC=CC=C1)C1=CC=CC(NCC2=NC(C3=CC=NC=C3)=NN2)=C1,4.387216143
34,CN1C(CNC2=CC=CC(C(=O)NCC3=CC=CC=C3Cl)=C2)=NN=C1C1=CC=NC=C1,4.48148606
35,O=C(CCS(=O)(=O)C1=CC=C(Br)C=C1)NCC1=CC=CS1,5.747632486
36,CC(=O)NC1=CC(NC(C(=O)NC2=NC3=C(C(F)(F)F)C=C4NN=CC4=C3S2)C2=CC=CC=C2)=CC=C1Cl,8.008773924
37,CN1C=C(C2=CC(C(N)=O)=NC3=C2C=NN3)C2=CC(OCC(N)=O)=CC=C21,7.698970004
38,CNC(=O)C1=CC(NC2(C(=O)NC3=NC4=CC=C5NN=CC5=C4S3)CC2)=CC=C1Cl,8.124938737
39,N#CC1=CC=NC(OC2=CC=C3N=C(C4=CC(C5=CN(C6CCNCC6)N=C5)=CN=C4N)OC3=C2)=C1,5.091514981
40,NC1=NC=C(C2=CN(C3CCNCC3)N=C2)C=C1C1=NC2=CC=C(OC3=CC(Cl)=CC=N3)C=C2O1,4.769551079
41,C1=CC=C(C2CCNCC2COC2=CC=C3OCOC3=C2)C=C1,3.500038134
42,CC1=C(C(=O)NC2=CC=C3NN=CC3=C2)C(C2=CC=C(F)C=C2)NC(=O)N1,6.113509275
43,CN1C(CNC2=CC=CC(C(=O)NCC3=CC=CC=C3C(F)(F)F)=C2)=NN=C1C1=CC=NC=C1,7.522878745
44,O=C(CNC1=CC=CC(OC2=CC=CC=C2)=C1)NN=C1CCCC2=CN=CC=C12,7.37675071
45,COCCN1C(CNC2=CC=CC(C(=O)NCC3=CC=CC=C3)=C2)=NN=C1C1=CC=NC=C1,7.795880017
46,COC1=CC=C(CNC(=O)CCS(=O)(=O)C2=CC=C(Br)C=C2)C=C1,5.522300072
47,CCN(CC)C1=CC=C(NC(=O)CCS(=O)(=O)C2=CC=C(Br)C=C2)C(C)=C1,6.370386555
48,CCCN1C(CNC2=CC=CC(C(=O)NCC3=CC=CC=C3)=C2)=NN=C1C1=CC=NC=C1,4.585026652
49,O=C(CCS(=O)(=O)C1=CC=C(Br)C=C1)NC1=CC(F)=CC=C1F,5.608183076
50,CN1C=C(C2=CC(C(N)=O)=NC3=C2C=NN3)C2=CC(OCC3CCCNC3)=CC=C21,6.15490196
51,O=C(O)C1=CC=CC2=C1NC(C(=O)O)C1CC(SC3=CC=CC=C3[N+](=O)[O-])C(Cl)C21,4.713094647
52,NC(=O)C1=CC=[N+](CC2=C(C(=O)O)N3C(=O)C(NC(=O)C(C4=CC=CC=C4)S(=O)(=O)[O-])C3SC2)C=C1,7.15490196
53,CCC1=CC=CC=C1NC(=O)CCS(=O)(=O)C1=CC=C(OC)C=C1,4.750068243
54,C=C(C)C(=O)NC1=CC=CC(C2=NOC3(C2)CC(C(N)=O)N(C(=O)C=CC)C3)=C1,4.672028376
55,CCC1=NC(CNC(=O)C2=CC(C3NC(=O)NC(C)=C3C(=O)NC3=CC=C4NN=CC4=C3)=CC=C2F)=NO1,6.795880017
56,CC1=C(C(=O)NC2=CC=C3NN=CC3=C2)C(C2=CC=C(F)C(C(=O)NCC(C)N3CCCCCC3)=C2)NC(=O)N1,5.920818754
57,C#CCN(CC1=CC=CO1)C(=O)CC1=CC(C2NC(=O)NC(C)=C2C(=O)NC2=CC=C3NN=CC3=C2)=CC=C1F,6.036212173
58,CC1=C(C(=O)NC2=CC=C3NN=CC3=C2)C(C2=CC=C(F)C(CCC(=O)NCC3(C)CCCCC3)=C2)NC(=O)N1,5.744727495
59,CC1=C(C(=O)NC2=CC=C3NN=CC3=C2)C(C2=CC=C(F)C(CC(=O)NCC3=C(C)C=CC=C3C)=C2)NC(=O)N1,4.602059991
60,COCCCC1CCCCN1C(=O)C1=CC(C2NC(=O)NC(C)=C2C(=O)NC2=CC=C3NN=CC3=C2)=CC=C1F,4.537602002
61,CCC(C)CN(CCO)C(=O)CC1=CC(C2NC(=O)NC(C)=C2C(=O)NC2=CC=C3NN=CC3=C2)=CC=C1F,6.080921908
62,CC1=C(C(=O)NC2=CC=C3NN=CC3=C2)C(C2=CC=C(F)C(CCC(=O)NCC3=NC=C(C)O3)=C2)NC(=O)N1,5.397940009
63,CCC(C)N(CO)C(=O)CC1=CC(C2NC(=O)NC(C)=C2C(=O)NC2=CC=C3NN=CC3=C2)=CC=C1F,5.721246399
64,CC(C)(NC1=CC=CC(S(N)(=O)=O)=C1)C(=O)NC1=NC2=C(C(F)(F)F)C=C3NN=CC3=C2S1,8.031517051
65,CC(C)(NC1=CC=C(Cl)C(C(=O)NCC(N)=O)=C1)C(=O)NC1=NC2=C(C(F)(F)F)C=C3NN=CC3=C2S1,8.004364805
66,NS(=O)(=O)C1=CC=C(CCNC(=O)CCS(=O)(=O)C2=CC=C(Br)C=C2)C=C1,5.918652692
67,COC1=CC=C(CCNC(=O)CCS(=O)(=O)C2=CC=C(Br)C=C2)C=C1OC,4.826231177
68,NC1=NC=C(C2=CN(C3CCNCC3)N=C2)C=C1C1=NC2=CC=C(OCC3=CC=C(F)C=C3)C=C2O1,4.924453039
69,NC1=NC=C(C2=CN(C3CCNCC3)N=C2)C=C1C1=NC2=CC=C(N3CCOCC3)C=C2O1,5.27572413
70,NC(=O)C1=CC(C2=COC3=CC=CC=C23)=C2C=NNC2=N1,5.886056648
71,COC1=CC=CC=C1C(C)NC(=O)C1=CC(C2NC(=O)NC(C)=C2C(=O)NC2=CC=C3NN=CC3=C2)=CC=C1F,6.397940009
72,CC1=C(C(=O)NC2=CC=C3NN=CC3=C2)C(C2=CC=C(F)C(CC(=O)N3CC4=CC=C(C)C=C4C3)=C2)NC(=O)N1,6.698970004
73,NC(=O)CC1=C(N)N=CN1C1OC(CO)C(O)C1O,3.254144805
74,CC1=C(C(=O)NC2=CC=C3NN=CC3=C2)C(C2=CC=C(F)C(C(=O)NCC3=CC=CC=C3)=C2)NC(=O)N1,6.161150909
75,CC1=C(C(=O)NC2=CC=C3NN=CC3=C2)C(C2=CC=C(F)C(C(=O)NCC3=C(Cl)C=CC=C3Cl)=C2)NC(=O)N1,6.886056648
76,CC1=C(C(=O)NC2=CC=C3NN=CC3=C2)C(C2=CC=C(F)C(C(=O)NCC3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)=C2)NC(=O)N1,5.568636236
77,O=C(CNC1=CC=CC(Cl)=C1)NN=CC1=CC=NC=C1,6.15490196
78,COC1=CC=CC=C1CNC(=O)C1=CC(C2NC(=O)NC(C)=C2C(=O)NC2=CC=C3NN=CC3=C2)=CC=C1F,7.22184875
79,CC1=C(C(=O)NC2=CC=C3NN=CC3=C2)C(C2=CC=C(F)C(C(=O)NCC3=CC=CC=N3)=C2)NC(=O)N1,6.823908741
80,CCC(=O)N1N=C2C3=CC=CC=C3C(=O)C2=C1C(C)(C)C,3.249491605
81,ClC1=CC=C(CSC2=NC(C3=CC=NC=C3)=NN2)C=C1,5.244125144
82,C1=CC=C(NCC2=NC(C3=CC=NC=C3)=NN2)C=C1,7
83,ClC1=CC=CC=C1NCC1=NC(C2=CC=NC=C2)=NN1,6.602059991
84,NS(=O)(=O)C1=CC=CC(NCC2=NC(C3=CC=NC=C3)=NN2)=C1,7.356547324
85,NS(=O)(=O)C1=CC=C(NCC2=NC(C3=CC=NC=C3)=NN2)C=C1,5.920818754
86,O=C(NCCCC1=CC=CC=C1)C1=CC=CC(NCC2=NC(C3=CC=NC=C3)=NN2)=C1,7.638272164
87,O=C(NCC1=CC=CC=C1)C1=CC=CC(NCC2=CN(C3=CC=NC=C3)C=C2)=C1,5.769551079
88,O=C(NCC1=CC=CC=C1)C1=CC=CC(NCC2=NN=C(C3=CC=NC=C3)O2)=C1,7.173925197
89,CC(C)N1C(CNC2=CC=CC(C(=O)NCC3=CC=CC=C3)=C2)=NN=C1C1=CC=NC=C1,6.853871964
90,O=C(NCC1=CC=CC=C1)C1=CC=CC(NCC2=NN=C(C3=CC=NC=C3)N2CC2=CC=CC=C2)=C1,6.431798276
91,CN1C(CNC2=CC=CC(C(=O)NCC3=CC=C(C(F)(F)F)C=C3)=C2)=NN=C1C1=CC=NC=C1,3.031517051
92,CCC1=CC=CC=C1NC(=O)CCS(=O)(=O)C1=CC=C(Br)C=C1,5.458295977
93,O=C(NC1CNCCCC1OC(=O)C1=CC(O)=C(C(=O)C2=C(O)C=CC=C2C(=O)O)C(O)=C1)C1=CC=C(O)C=C1,7.37675071
94,COC1=CC=C(C(=O)NC2=CC=C3N=C(C4=CC(C5=CN(C6CCNCC6)N=C5)=CN=C4N)OC3=C2)C=C1,5.401209493
95,NC1=NC=C(C2=CN(C3CCNCC3)N=C2)C=C1C1=NC2=CC(NC3=CC=CC=C3)=CC=C2O1,5.30980392
96,CC1=CC=CC(N2CCN(C(=O)CCS(=O)(=O)C3=CC=C(Br)C=C3)CC2C)=C1,5.699621935
