ID,SMILES,pEC50_Clinical_Abnormal Hepatic Function,pEC50_Clinical_Cholecystitis,pEC50_Clinical_Cholelithiasis,pEC50_Clinical_Cholestasis,pEC50_Clinical_Cholestatic Jaundice,pEC50_Clinical_Hepatic Failure,pEC50_Clinical_Hepatic Necrosis,pEC50_Clinical_Hepatic Steatosis,pEC50_Clinical_Hepatitis,pEC50_Clinical_Hepatobiliary disorder,pEC50_Clinical_Hepatocellular injury,pEC50_Clinical_Hepatomegaly,pEC50_Clinical_Hyperbilirrubinemia,pEC50_Clinical_Jaundice,pEC50_Clinical_Liver Injury,pEC50_Pre_Clinical_Filtered Dose Hepatic Steatosis,pEC50_Pre_Clinical_Filtered Doses Hepatic Necrosis,pEC50_Pre_Clinical_Filtered Doses Hepatomegaly,pEC50_Pre_Clinical_Filtered Doses Liver Disorder,pEC50_Pre_Clinical_Filtered Doses liver Injury,pEC50_Pre_Clinical_Filtered Hepatic Necrosis
697,COC(=O)CCC(=O)CN,,,,,,,,,,,,,,,,,,-1.6989700043360187,-1.6989700043360187,,
698,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1,,,,,,,,,,,,,,,,,,-2.096910013008056,-2.6989700043360187,,
699,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,,,,,,,,,,,,,,,,,,-1.6989700043360187,,,
700,OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,,,,,,,,,,,,,,,,,,-3.0,,,
701,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],,,,,,,,,,,,,,,,,,-1.9030899869919435,-1.9030899869919435,,
702,NC(=O)CS(=O)C(c1ccccc1)c1ccccc1,,,,,,,,,,,,,,,,,,-1.7781512503836436,-2.3010299956639813,,
703,CO/N=C1\C[C@]2(C[C@@H]3C[C@@H](C/C=C(\C)C[C@@H](C)/C=C/C=C4\CO[C@@H]5[C@H](O)C(C)=C[C@@H](C(=O)O3)[C@]45O)O2)O[C@H](/C(C)=C/C(C)C)[C@H]1C,,,,,,,,,,,,,,,,,,-1.3617278360175928,,,
704,C/C(=C\C(=O)OCCCCCCCCC(=O)O)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O,,,,,,,,,,,,,,,,,,-2.0,-2.0,,
705,CN(C/C=C/c1ccccc1)Cc1cccc2ccccc12,,,,,,,,,,,,,,,,,,-1.8750612633917,-1.8750612633917,,
706,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],,,,,,,,,,,,,,,,,,-2.5599066250361124,-2.5599066250361124,,
707,Nc1nc2c(ncn2CCC(C[O-])CO)c(=O)[nH]1,,,,,,,,,,,,,,,,,,-2.204119982655925,,,
708,CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)[C@@H](C(=O)O)C[C@H]1NC(=N)N,,,,,,,,,,,,,,,,,,-2.4771212547196626,-2.4771212547196626,,
709,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,,,,,,,,,,,,,,,,,,-1.0,-2.250420002308894,,-1.3010299956639813
710,CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@H](Cl)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,,,,,,,,,,,,,,,,,,-2.7781512503836434,,,
711,CC(C)NCC(O)COc1cccc2[nH]ccc12,,,,,,,,,,,,,,,,,,-1.8195439355418688,-2.113943352306837,,
712,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,,,,,,,,,,,,,,,,,,-0.0,,,
713,c1cc(CN2CCCNCCNCCCNCC2)ccc1CN1CCCNCCNCCCNCC1,,,,,,,,,,,,,,,,,,-1.1760912590556811,,,
714,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CCC2=O,,,,,,,,,,,,,,,,,,-2.0,,,
715,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC1CC1,,,,,,,,,,,,,,,,,,-1.3979400086720375,,,
716,COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1,,,,,,,,,,,,,,,,,,-2.6989700043360187,,,
717,CCC(=O)[C@@]1(C)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,,,,,,,,,,,,,,,,,,-0.6989700043360189,,,
718,COC(=O)N(C)c1c(N)nc(-c2nn(Cc3ccccc3F)c3ncccc23)nc1N,,,,,,,,,,,,,,,,,,-0.6989700043360189,-1.0,,
719,Cc1cn2nc(-c3cc(=O)n4cc(N5CCNC6(CC6)C5)ccc4n3)cc(C)c2n1,,,,,,,,,,,,,,,,,,-0.9542425094393248,,,
720,O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1,,,,,,,,,,,,,,,,,,-0.3010299956639812,,,
721,C[C@@H](OC[C@@]1(c2ccccc2)CC[C@]2(CCC(=O)N2)CN1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,,,,,,,,,,,,,,,,,,-1.3979400086720375,,,
722,C[C@H](O)[C@H](O)[C@H]1CNc2[nH]c(N)nc(=O)c2N1,,,,,,,,,,,,,,,,,,-1.3979400086720375,,,
723,Cc1ncc([N+](=O)[O-])n1CC(C)O,,,,,,,,,,,,,,,,,,-3.0,-3.0,,
724,C[C@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@@H](C)N1,,,,,,,,,,,,,,,,,,-2.6020599913279625,,,
725,O=C([O-])CCSC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CSCCC(=O)[O-])O[C@H](OC4[C@@H](CSCCC(=O)[O-])O[C@H](O[C@@H]5[C@@H](CSCCC(=O)[O-])O[C@H](O[C@@H]6[C@@H](CSCCC(=O)[O-])OC(O[C@@H]7[C@@H](CSCCC(=O)[O-])O[C@H](O[C@@H]8[C@@H](CSCCC(=O)[O-])OC(O[C@@H]9[C@@H](CSCCC(=O)[O-])O[C@H](OC1[C@H](O)[C@@H]2O)[C@@H](O)[C@H]9O)[C@@H](O)[C@H]8O)[C@@H](O)[C@H]7O)[C@@H](O)[C@H]6O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H]4O)[C@@H](O)[C@H]3O,,,,,,,,,,,,,,,,,,-2.0791812460476247,,,
726,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,,,,,,,,,,,,,,,,,,-0.7781512503836436,,,
727,O=C(NN1C(=O)[C@H]2[C@H]3C=C[C@H]([C@@H]4C[C@H]34)[C@H]2C1=O)c1ccc(C(F)(F)F)cc1,,,,,,,,,,,,,,,,,,-1.4771212547196624,-3.0,,
728,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,,,,,,,,,,,,,,,,,,-0.3010299956639812,,,
729,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@@H](N)CO)C(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)C(C)C)C(C)C,,,,,,,,,,,,,,,,,,-7.0,,,
730,CCCCC[C@H](O)CC[C@@H]1[C@H]2Cc3cccc(OCC(=O)[O-])c3C[C@H]2C[C@H]1O,,,,,,,,,,,,,,,,,,-2.8115750058705933,-8.66651798055488,,
731,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,,,,,,,,,,,,,,,,,,-0.7781512503836436,-0.6989700043360189,,-0.4771212547196624
732,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1C(F)(F)F,,,,,,,,,,,,,,,,,,-0.7781512503836436,,,
733,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,,,,,,,,,,,,,,,,,,-2.6020599913279625,-0.0,,-0.6020599913279624
734,CCCCCCCC(=O)CC[C@H]1[C@H](O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)OC(C)C,,,,,,,,,,,,,,,,,,-1.3010299956639813,-2.6532125137753435,,
735,CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)[nH]n12,,,,,,,,,,,,,,,,,,-2.096910013008056,,,
736,C=C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,,,,,,,,,,,,,,,,,,-0.6989700043360189,-1.0,,
737,COCCO[C@@H]1[C@H](O)[C@@H](CO[P@](=O)([S-])O[C@@H]2[C@@H](CO[P@](=O)([S-])O[C@@H]3[C@@H](CO[P@](=O)([S-])O[C@@H]4[C@@H](CO[P@](=O)([S-])O[C@@H]5[C@@H](CO[P@](=O)([S-])O[C@H]6C[C@H](n7cc(C)c(N)nc7=O)O[C@@H]6CO[P@](=O)([S-])O[C@H]6C[C@H](n7cnc8c(=O)[nH]c(N)nc87)O[C@@H]6CO[P@](=O)([S-])O[C@H]6C[C@H](n7cnc8c(N)ncnc87)O[C@@H]6CO[P@](=O)([S-])O[C@H]6C[C@H](n7cc(C)c(N)nc7=O)O[C@@H]6CO[P@](=O)([S-])O[C@H]6C[C@H](n7cc(C)c(N)nc7=O)O[C@@H]6CO[P@](=O)([S-])O[C@H]6C[C@H](n7cc(C)c(=O)[nH]c7=O)O[C@@H]6CO[P@](=O)([S-])O[C@H]6C[C@H](n7cnc8c(=O)[nH]c(N)nc87)O[C@@H]6CO[P@](=O)([S-])O[C@H]6C[C@H](n7cc(C)c(=O)[nH]c7=O)O[C@@H]6CO[P@](=O)([S-])O[C@H]6C[C@H](n7cc(C)c(=O)[nH]c7=O)O[C@@H]6CO[P@](=O)([S-])O[C@H]6C[C@H](n7cc(C)c(N)nc7=O)O[C@@H]6CO[P@](=O)([S-])O[C@@H]6[C@@H](CO[P@](=O)([S-])O[C@@H]7[C@@H](CO[P@](=O)([S-])O[C@@H]8[C@@H](CO[P@](=O)([S-])O[C@@H]9[C@@H](CO[P@](=O)([S-])O[C@@H]%10[C@@H](CO)O[C@@H](n%11cnc%12c(N)ncnc%12%11)[C@@H]%10OCCOC)O[C@@H](n%10cnc%11c(=O)[nH]c(N)nc%11%10)[C@@H]9OCCOC)O[C@@H](n9cc(C)c(N)nc9=O)[C@@H]8OCCOC)O[C@@H](n8cc(C)c(=O)[nH]c8=O)[C@@H]7OCCOC)O[C@@H](n7cc(C)c(=O)[nH]c7=O)[C@@H]6OCCOC)O[C@@H](n6cc(C)c(=O)[nH]c6=O)[C@@H]5OCCOC)O[C@@H](n5cc(C)c(=O)[nH]c5=O)[C@@H]4OCCOC)O[C@@H](n4cc(C)c(=O)[nH]c4=O)[C@@H]3OCCOC)O[C@@H](n3cnc4c(N)ncnc43)[C@@H]2OCCOC)O[C@H]1n1cc(C)c(=O)[nH]c1=O,,,,,,,,,,,,,,,,,,-1.6989700043360187,-1.3010299956639813,,
738,CC(C)n1nccc1-c1ncccc1COc1cccc(O)c1C=O,,,,,,,,,,,,,,,,,,-2.397940008672037,-1.6989700043360187,,
739,CC(=O)NCCCS(=O)(=O)[O-],,,,,,,,,,,,,,,,,,,-3.0,,
740,Nc1nc2c(ncn2COCCO)c(=O)[nH]1,,,,,,,,,,,,,,,,,,,-1.9030899869919435,,
741,Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,,,,,,,,,,,,,,,,,,,-1.4771212547196624,,
742,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,,,,,,,,,,,,,,,,,,,-1.0,,
743,Nc1cc(Cl)c(NC2=NCCN2)c(Cl)c1,,,,,,,,,,,,,,,,,,,-0.0,,
744,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,,,,,,,,,,,,,,,,,,,-1.7781512503836436,,
745,COc1ccc(C(=O)CC(=O)c2ccc(C(C)(C)C)cc2)cc1,,,,,,,,,,,,,,,,,,,-3.0,-3.0,
746,O=C(/C=C/c1cccc(S(=O)(=O)Nc2ccccc2)c1)NO,,,,,,,,,,,,,,,,,,,-1.3222192947339193,,
747,O=C(c1ccccc1)c1ccccc1,,,,,,,,,,,,,,,,,,,-0.4771212547196624,,-1.3010299956639813
748,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)([O-])[O-],,,,,,,,,,,,,,,,,,,-0.0,,
749,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,,,,,,,,,,,,,,,,,,,-0.6989700043360189,,
750,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,,,,,,,,,,,,,,,,,,,-1.1760912590556811,,
751,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,,,,,,,,,,,,,,,,,,,-2.3010299956639813,,
752,C[C@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@]3(C)O)[C@H]12,,,,,,,,,,,,,,,,,,,-1.0,,
753,O=NN(CCCl)C(=O)NCCCl,,,,,,,,,,,,,,,,,,,-0.6989700043360189,,
754,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(COC(C)=O)CS[C@H]12)c1csc(N)n1,,,,,,,,,,,,,,,,,,,-3.0,,
755,C/C=C/C1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,,,,,,,,,,,,,,,,,,,-3.1760912590556813,,
756,Cc1ccccc1N1CCN(CCc2nnc3n2CCCC3)CC1,,,,,,,,,,,,,,,,,,,-2.4771212547196626,,
757,Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1,,,,,,,,,,,,,,,,,,,-0.6989700043360189,-0.6989700043360189,
758,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,,,,,,,,,,,,,,,,,,,-2.6989700043360187,,
759,CC1=NN(c2ccccc2)C(=O)C1,,,,,,,,,,,,,,,,,,,-2.4771212547196626,,
760,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,,,,,,,,,,,,,,,,,,,-2.7781512503836434,,-2.3010299956639813
761,CC1(C)[C@@H](O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)O)CC[C@]3(C)CC[C@]21C,,,,,,,,,,,,,,,,,,,-0.6989700043360189,,
762,CNC[C@H](O)c1ccc(O)c(O)c1,,,,,,,,,,,,,,,,,,,-0.7781512503836436,,
763,CCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]12C,,,,,,,,,,,,,,,,,,,-6.698970004336019,,
764,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,,,,,,,,,,,,,,,,,,,-0.6989700043360189,,
765,CCOC(=O)c1cncn1[C@H](C)c1ccccc1,,,,,,,,,,,,,,,,,,,-1.4913616938342726,,
766,Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1,,,,,,,,,,,,,,,,,,,-2.4771212547196626,,
767,CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,,,,,,,,,,,,,,,,,,,-0.0,,
768,CC[C@H](C)[C@H](NC(=O)CN)C(=O)N[C@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H]1CSSC[C@@H]2NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](CO)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CSSC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc3c[nH]cn3)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](N)Cc3ccccc3)C(C)C)C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@@H](Cc3c[nH]cn3)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)N[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(=O)O)[C@@H](C)O)[C@@H](C)O)CSSC[C@@H](C(=O)N[C@@H](CC(N)=O)C(=O)O)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC2=O)NC1=O)C(C)C,,,,,,,,,,,,,,,,,,,-7.698970004336019,,
769,CC[C@H](C)[C@H](NC(=O)CN)C(=O)N[C@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H]1CSSC[C@@H]2NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](CO)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CSSC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc3c[nH]cn3)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](NC(=O)[C@@H](N)Cc3ccccc3)C(C)C)C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@@H](Cc3c[nH]cn3)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)N[C@H](C(=O)N3CCC[C@H]3C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)O)[C@@H](C)O)[C@@H](C)O)CSSC[C@@H](C(=O)N[C@@H](CC(N)=O)C(=O)O)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC2=O)NC1=O)C(C)C,,,,,,,,,,,,,,,,,,,-6.698970004336019,,
770,CC(C)NC(C)Cc1ccc([123I])cc1,,,,,,,,,,,,,,,,,,,-0.7781512503836436,,
771,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,,,,,,,,,,,,,,,,,,,-1.6020599913279625,,
772,CC(C)(C)NC[C@H](O)c1ccc(O)c(CO)c1,,,,,,,,,,,,,,,,,,,-0.6989700043360189,,
773,C[C@@H]1CN([C@H]2CC[C@](C#N)(c3ccc(F)cc3)CC2)CC[C@]1(C(=O)O)c1ccccc1,,,,,,,,,,,,,,,,,,,-2.0791812460476247,,
774,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,,,,,,,,,,,,,,,,,,,-2.096910013008056,,
775,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,,,,,,,,,,,,,,,,,,,-2.0,,
776,O=NN(CCCl)C(=O)NC1CCCCC1,,,,,,,,,,,,,,,,,,,-1.8750612633917,,-1.7781512503836436
777,Cc1ccc(Cl)c(Nc2ccccc2C(=O)[O-])c1Cl,,,,,,,,,,,,,,,,,,,-1.0791812460476249,,
778,O[C@H](c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)[C@@H]1CCCCN1,,,,,,,,,,,,,,,,,,,-1.4771212547196624,,-2.1760912590556813
779,CN(C)CCN(Cc1cccs1)c1ccccn1,,,,,,,,,,,,,,,,,,,-0.4771212547196624,,-2.397940008672037
780,Cc1ncc([N+](=O)[O-])n1CCO,,,,,,,,,,,,,,,,,,,-7.146128035678238,,-2.380211241711606
781,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2,,,,,,,,,,,,,,,,,,,-1.255272505103306,,
782,C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,,,,,,,,,,,,,,,,,,,-1.0413926851582251,,
783,NC(=O)Cc1cccc(C(=O)c2ccccc2)c1N,,,,,,,,,,,,,,,,,,,-1.3979400086720375,,
784,CN1CCC[C@H]1c1cccnc1,,,,,,,,,,,,,,,,,,,-1.4471580313422192,,-2.2648178230095364
785,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-],,,,,,,,,,,,,,,,,,,-0.6020599913279624,,
786,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,,,,,,,,,,,,,,,,,,,-3.380211241711606,,
787,CC1OC(=O)CC(O)CC(O)CC(O)CCC(O)C(O)C[C@]2(O)CC(O)C(C(=O)O)C(CC(O[C@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)/C=C/C=C/C=C/C=C/CC/C=C/C=C/[C@H](C)C(O)C1C)O2,,,,,,,,,,,,,,,,,,,-0.4771212547196624,,
788,CCCc1nc(C(C)(C)O)c(C(=O)Oc2oc(=O)oc2C)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,,,,,,,,,,,,,,,,,,,-3.3010299956639813,,
789,Cc1c(Cl)c(C)[n+]([O-])c(Cl)c1-c1noc(-c2cc(O)c(O)c([N+](=O)[O-])c2)n1,,,,,,,,,,,,,,,,,,,-2.6989700043360187,,
790,Cc1ccccc1C(OCCN(C)C)c1ccccc1,,,,,,,,,,,,,,,,,,,-0.3010299956639812,,
791,Cc1cc(C(C)(C)C)c(O)c(C)c1CC1=NCCN1,,,,,,,,,,,,,,,,,,,-1.380211241711606,,
792,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,,,,,,,,,,,,,,,,,,,-1.0,,
793,NCCC(O)(P(=O)([O-])O)P(=O)([O-])O,,,,,,,,,,,,,,,,,,,-0.7781512503836436,,
794,Cc1cccn2c(=O)c(-c3nnn[n-]3)cnc12,,,,,,,,,,,,,,,,,,,-2.397940008672037,,
795,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,,,,,,,,,,,,,,,,,,,-0.4771212547196624,,
796,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,,,,,,,,,,,,,,,,,,,-0.4771212547196624,,-0.6989700043360189
797,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,,,,,,,,,,,,,,,,,,,-1.4771212547196624,,
798,C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,,,,,,,,,,,,,,,,,,,-0.3010299956639812,,
799,CCOC(=O)O[C@]1(C(=O)COC(=O)CC)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,,,,,,,,,,,,,,,,,,,-0.6989700043360189,,
800,C/C=C1\NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O,,,,,,,,,,,,,,,,,,,-0.0,,-0.6989700043360189
801,CON(C)Cc1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,,,,,,,,,,,,,,,,,,,-1.6989700043360187,,-2.1760912590556813
802,Cl[89Sr]Cl,,,,,,,,,,,,,,,,,,,-2.380211241711606,,
803,NC[C@H]1O[C@H](O[C@H]2[C@H](N)C[C@H](N)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@@H]2O)[C@H](N)C[C@@H]1O,,,,,,,,,,,,,,,,,,,-1.869231719730976,,
804,ClC=C(Cl)Cl,,,,,,,,,,,,,,,,,,,-1.1760912590556811,,-1.6812412373755872
805,CC(C)(C)c1cc(-c2cc(-c3ccc(C(=O)O)cc3)ccc2OCCO)ccc1N1CCCC1,,,,,,,,,,,,,,,,,,,-0.6989700043360189,,
806,CCCC(CCC)C(=O)[O-],,,,,,,,,,,,,,,,,,,-2.380211241711606,,-1.1760912590556811
807,O=S(=O)([O-])[O-],,,,,,,,,,,,,,,,,,,-3.397940008672037,,-1.954242509439325
808,CCCC(=O)OCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,,,,,,,,,,,,,,,,,,,,-1.1139433523068367,
